Α/Α,Module,Τίτλος άρθρου / ενότητας,Αναφαίρετο,Νομική / κανονιστική βάση,Σχόλια
33,M22,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,,—,
34,M22a,Ρήτρες «Μέτρων» Εξυγίανσης (BRRD),⛔ ΝΑΙ,ν.4335/2015 αρ.2 (Οδ. 2014/59/ΕΕ),⛔ Αναφαίρετο — εποπτευόμενο ίδρυμα
35,M22b,Υποχρέωση υποστήριξης μετάβασης (exit plan),⛔ ΝΑΙ,EBA/GL/2019/02 §106-108,⛔ Αναφαίρετο
36,M23,ΑΝΩΤΕΡΑ ΒΙΑ,,ΑΚ 380,
37,M24,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,,ν.2121/1993,
38,M24a,Άδεια χρήσης Λογισμικού,,ν.2121/1993 αρ.42,Απαιτεί Παράρτημα Όρων Χρήσης
39,M24b,Escrow πηγαίου κώδικα,,—,Κανόνας R-05 — απαιτεί κατασκευάστρια εταιρεία
40,M25,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΑΠΟΡΡΗΤΟ,⛔ ΝΑΙ,ν.4261/2014 αρ.84 (τραπεζικό απόρρητο),⛔ Αναφαίρετο
41,M25a,Εσωτερικές πληροφορίες / κατάχρηση αγοράς,,"Καν. (ΕΕ) 596/2014, ν.3340/2005",
42,M26,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ (GDPR),⛔ ΝΑΙ,ΓΚΠΔ (ΕΕ) 2016/679 αρ.28 παρ.3,⛔ Αναφαίρετο · ✕ δεν υπάρχει στο πρότυπο C
43,M26a,Διαβίβαση δεδομένων εκτός ΕΟΖ,⛔ ΝΑΙ,ΓΚΠΔ Κεφ. V (αρ.44-49),⛔ Απαιτεί μηχανισμό διαβίβασης
44,M26b,Υπεργολάβοι επεξεργασίας (subprocessors),⛔ ΝΑΙ,ΓΚΠΔ αρ.28 παρ.2 & 4,⛔ Αναφαίρετο
45,M27,ΠΡΟΤΥΠΑ ΑΣΦΑΛΕΙΑΣ ΠΛΗΡΟΦΟΡΙΩΝ,,"DORA, ΠΔ/ΤΕ 2577/2006",⚠ Δεν υπήρχε στα πρότυπα — προστέθηκε (R-12)
46,M28,"ΔΙΚΑΙΩΜΑΤΑ ΠΡΟΣΒΑΣΗΣ, ΠΛΗΡΟΦΟΡΗΣΗΣ & ΕΛΕΓΧΟΥ",⛔ ΝΑΙ,ν.4261/2014 αρ.57 παρ.3 · ν.4335/2015 αρ.63,⛔ Αναφαίρετο — δικαιώματα ΤτΕ
47,M28a,Πρόσβαση cloud & τοποθεσία δεδομένων,⛔ ΝΑΙ,EBA/REC/2017/03,⛔ Αναφαίρετο
48,M29,ΚΑΤΑΠΟΛΕΜΗΣΗ ΔΙΑΦΘΟΡΑΣ & ΔΩΡΟΔΟΚΙΑΣ,⛔ ΝΑΙ,ν.4557/2018 (ΞΧ/ΧΤ),⛔ Αναφαίρετο
49,M30,ΣΥΜΨΗΦΙΣΜΟΣ,,ΑΚ 440 επ.,
50,M31,ΕΙΔΟΠΟΙΗΣΕΙΣ & ΑΝΤΙΚΛΗΤΟΣ,,ΚΠολΔ 142,⚠ Ο αντίκλητος δεν συλλέγεται σήμερα (Q-11)
51,M32,ΕΦΑΡΜΟΣΤΕΟ ΔΙΚΑΙΟ – ΔΩΣΙΔΙΚΙΑ,⛔ ΝΑΙ,Καν. (ΕΕ) 1215/2012,⛔ Αναφαίρετο
52,M32a,Ρήτρα γλώσσας / δίγλωσσο κείμενο,,—,Q-13
53,M33,ΣΕΙΡΑ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ ΕΓΓΡΑΦΩΝ,,—,Παράγεται από τα ενεργά παραρτήματα (R-16)
54,M34,ΣΧΕΣΕΙΣ ΜΕΤΑΞΥ ΣΥΜΒΑΛΛΟΜΕΝΩΝ,,—,Αποκλεισμός εργασιακής σχέσης
55,M35,ΔΙΚΑΙΩΜΑ ΑΓΟΡΑΣ ΠΡΟΣΘΕΤΩΝ ΑΔΕΙΩΝ,,—,
56,M36,ΑΠΑΓΟΡΕΥΣΕΙΣ (χρήση σημάτων κ.λπ.),,—,
57,M37,ΔΕΣΜΕΥΣΗ ΔΙΑΔΟΧΩΝ,,—,
58,M38,ΔΙΑΧΩΡΙΣΜΟΣ – ΠΑΡΑΙΤΗΣΗ,,—,
59,M39,ΕΠΙΚΕΦΑΛΙΔΕΣ ΑΡΘΡΩΝ,,—,
60,M40,ΠΑΡΑΡΤΗΜΑΤΑ,,—,Η λίστα παράγεται από τα ενεργά modules
61,M41,ΑΝΑΦΟΡΑ ΑΡΧΙΚΗΣ ΣΥΜΒΑΣΗΣ,,—,Μόνο Πρόσθετη Πράξη
62,M42,ΠΡΑΞΕΙΣ ΤΡΟΠΟΠΟΙΗΣΗΣ (amendments[]),,—,Επαναλαμβανόμενο block
63,M43,ΡΗΤΡΑ ΔΙΑΤΗΡΗΣΗΣ ΛΟΙΠΩΝ ΟΡΩΝ,⛔ ΝΑΙ,—,⛔ «Κατά τα λοιπά οι όροι εξακολουθούν να ισχύουν»
64,M44,ΜΠΛΟΚ ΥΠΟΓΡΑΦΩΝ,,—,Διάταξη κατά R-01 (πλήθος υπογραφόντων)
