Α/Α,Ενότητα,Πεδίο (token),Περιγραφή,Τύπος,Υποχρ.,Προεπιλογή,Πηγή δεδομένων,Άρθρο,Κανόνας,Σχόλια / Έλεγχοι
19,Μετάβαση,transition.period_from / period_to,Περίοδος μεταβατικής υποστήριξης,Ημερομηνίες,Υπό όρους,,Χρονοδιάγραμμα,Άρθρο 4,R-07,
20,Μετάβαση,transition.amount,Αμοιβή μεταβατικής υποστήριξης,Ποσό,Υπό όρους,,Οικονομική Προσφορά,Άρθρο 4,R-07,
21,Ποινικές ρήτρες,penalties.has_penalties,Υπάρχουν ποινικές ρήτρες,Ναι/Όχι,Ναι,Ναι,Διακήρυξη,Άρθρο 3,R-14,"⚠ Αν Όχι, αλλάζει και ο ΤΙΤΛΟΣ του άρθρου"
22,Ποινικές ρήτρες,penalties.delay_per_day,Ρήτρα ανά ημέρα καθυστέρησης,Ποσό,Υπό όρους,,Πολιτική,Άρθρο 3,R-14,
23,Ποινικές ρήτρες,penalties.availability.target_pct,Στόχος διαθεσιμότητας,Ποσοστό,Υπό όρους,,SLA,Άρθρο 3,R-14,
24,Ποινικές ρήτρες,penalties.sla_rates[],Ρήτρες SLA (σοβαρότητα × μετρική × %),Λίστα,Υπό όρους,,SLA Παράρτημα,Άρθρο 3,R-14,Μετρικές: Response time / Restoration target
25,Ποινικές ρήτρες,penalties.cap_pct_annual,Ανώτατο όριο ρητρών (ετησίως),Ποσοστό,Ναι,50,Πολιτική,Άρθρο 3,,
26,Εγγυήσεις,guarantee.required,Απαιτείται Εγγυητική Επιστολή,Ναι/Όχι,Ναι,Ναι,Πολιτική (Q-06),Πρόσθετοι Όροι,R-06,
27,Εγγυήσεις,guarantee.amount,Ποσό εγγυητικής,Ποσό,Υπό όρους,,ΠΑΡΑΓΩΓΟ,Πρόσθετοι Όροι,R-06,
28,Ασφάλεια,security.include_standards_article,Άρθρο Προτύπων Ασφάλειας Πληροφοριών,Ναι/Όχι,Ναι,Όχι,Security assessment,(νέο άρθρο),R-12,⚠ Δεν υπήρχε στο πρότυπο· εμφανίστηκε στο MOVEO
29,Ασφάλεια,security.standards[],Πρότυπα,Πολλαπλή: ISO 27001 / 27017 / 27018 / SOC2 / PCI-DSS,Υπό όρους,,Security assessment,(νέο άρθρο),R-12,
30,Υπεργολαβία,subcontracting.approved_subcontractors[],Εγκεκριμένοι υπεργολάβοι,Λίστα,Όχι,(κενό),Αξιολόγηση προσφοράς,Άρθρο 8,R-04,
31,GDPR,data_protection.processes_personal_data,Επεξεργασία προσωπικών δεδομένων,Ναι/Όχι,Ναι,Ναι,DPIA,Άρθρο 12,R-03,
32,GDPR,data_protection.subprocessors[],Υπεργολάβοι επεξεργασίας,Λίστα,Υπό όρους,,DPA,Άρθρο 12,R-03,
33,GDPR,data_protection.transfers_outside_eea,Διαβίβαση εκτός ΕΟΖ,Ναι/Όχι,Ναι,Όχι,DPA,Άρθρο 12,R-11,
34,Έλεγχος,audit.frequency_per_year,Συχνότητα ελέγχων (ανά έτος),Ακέραιος,Όχι,1,Σταθερό,Άρθρο 14,,Δικαιώματα ΕΤΕ & Τράπεζας Ελλάδος
35,Καταγγελία,termination.convenience_notice_months,Προειδοποίηση καταγγελίας (μήνες),Ακέραιος,Όχι,3,Σταθερό,Άρθρο 15,,Ρήτρες BRRD πάντοτε παρούσες
