Α/Α,Module,Τίτλος,A · Σύμβαση Προμήθειας Συστήματος,B · Σύμβαση Προμήθειας Πλατφόρμας,C · Σύμβαση Παροχής Υπηρεσιών,D · Πρόσθετη Πράξη,Συνθήκη ενεργοποίησης,Αναφαίρετο
28,M20,ΕΓΓΥΗΣΗ (warranty),◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,has_formal_acceptance,
29,M20a,Εγγύηση κατά ιών / κακόβουλου κώδικα,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,delivers_software_licences,
30,M21,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,has_sla,
31,M21a,Ρήτρα μη τήρησης διαθεσιμότητας,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,has_availability_sla,
32,M21b,Ρήτρα Vulnerability fixes (P = V×N/365),◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,has_sla and vendor_accesses_bank_systems,
33,M22,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
34,M22a,Ρήτρες «Μέτρων» Εξυγίανσης (BRRD),◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,is_material_outsourcing,⛔
35,M22b,Υποχρέωση υποστήριξης μετάβασης (exit plan),◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,is_material_outsourcing,⛔
36,M23,ΑΝΩΤΕΡΑ ΒΙΑ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
37,M24,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
38,M24a,Άδεια χρήσης Λογισμικού,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,delivers_software_licences,
39,M24b,Escrow πηγαίου κώδικα,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,escrow_required,
40,M25,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΑΠΟΡΡΗΤΟ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",⛔
41,M25a,Εσωτερικές πληροφορίες / κατάχρηση αγοράς,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
42,M26,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ (GDPR),◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,processes_personal_data,⛔
43,M26a,Διαβίβαση δεδομένων εκτός ΕΟΖ,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,processes_personal_data and transfers_outside_eea,⛔
44,M26b,Υπεργολάβοι επεξεργασίας (subprocessors),◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,processes_personal_data and has_subcontractors,⛔
45,M27,ΠΡΟΤΥΠΑ ΑΣΦΑΛΕΙΑΣ ΠΛΗΡΟΦΟΡΙΩΝ,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,vendor_accesses_bank_systems or is_cloud_outsourcing,
46,M28,"ΔΙΚΑΙΩΜΑΤΑ ΠΡΟΣΒΑΣΗΣ, ΠΛΗΡΟΦΟΡΗΣΗΣ & ΕΛΕΓΧΟΥ",◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,is_material_outsourcing,⛔
47,M28a,Πρόσβαση cloud & τοποθεσία δεδομένων,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,is_cloud_outsourcing,⛔
48,M29,ΚΑΤΑΠΟΛΕΜΗΣΗ ΔΙΑΦΘΟΡΑΣ & ΔΩΡΟΔΟΚΙΑΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",⛔
49,M30,ΣΥΜΨΗΦΙΣΜΟΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
50,M31,ΕΙΔΟΠΟΙΗΣΕΙΣ & ΑΝΤΙΚΛΗΤΟΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,◐ υπό όρους,"— (πάντα, όπου υπάρχει)",
51,M32,ΕΦΑΡΜΟΣΤΕΟ ΔΙΚΑΙΟ – ΔΩΣΙΔΙΚΙΑ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",⛔
52,M32a,Ρήτρα γλώσσας / δίγλωσσο κείμενο,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,vendor_is_foreign,
53,M33,ΣΕΙΡΑ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ ΕΓΓΡΑΦΩΝ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
54,M34,ΣΧΕΣΕΙΣ ΜΕΤΑΞΥ ΣΥΜΒΑΛΛΟΜΕΝΩΝ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
55,M35,ΔΙΚΑΙΩΜΑ ΑΓΟΡΑΣ ΠΡΟΣΘΕΤΩΝ ΑΔΕΙΩΝ,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,delivers_software_licences,
56,M36,ΑΠΑΓΟΡΕΥΣΕΙΣ (χρήση σημάτων κ.λπ.),● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
57,M37,ΔΕΣΜΕΥΣΗ ΔΙΑΔΟΧΩΝ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
58,M38,ΔΙΑΧΩΡΙΣΜΟΣ – ΠΑΡΑΙΤΗΣΗ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
59,M39,ΕΠΙΚΕΦΑΛΙΔΕΣ ΑΡΘΡΩΝ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
60,M40,ΠΑΡΑΡΤΗΜΑΤΑ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,◐ υπό όρους,"— (πάντα, όπου υπάρχει)",
61,M41,ΑΝΑΦΟΡΑ ΑΡΧΙΚΗΣ ΣΥΜΒΑΣΗΣ,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,● υποχρεωτικό,"— (πάντα, όπου υπάρχει)",
62,M42,ΠΡΑΞΕΙΣ ΤΡΟΠΟΠΟΙΗΣΗΣ (amendments[]),✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,● υποχρεωτικό,"— (πάντα, όπου υπάρχει)",
63,M43,ΡΗΤΡΑ ΔΙΑΤΗΡΗΣΗΣ ΛΟΙΠΩΝ ΟΡΩΝ,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,● υποχρεωτικό,"— (πάντα, όπου υπάρχει)",⛔
64,M44,ΜΠΛΟΚ ΥΠΟΓΡΑΦΩΝ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,"— (πάντα, όπου υπάρχει)",
